folioviv,foliohog,numren,clave,material,gasto,gasto_tri
06013911102,1,04,E005B,300,300,870.96
06013912002,1,02,E002B,200,200,600
06013912004,1,03,E006B,1000,1000,3000
06013912006,1,04,E005B,200,200,600
06013970904,1,04,E002B,144,144,462.85
06013970904,1,03,E002B,144,144,462.85
06013972701,1,04,E002B,500,500,1451.61
06013972704,1,03,E001B,200,200,580.64
06013972705,1,02,E005B,100,100,290.32
06013972705,1,02,E005A,300,300,870.96
06014290703,1,05,E003B,60,60,192.85
06014290703,1,05,E003A,360,360,1157.14
06014290703,1,03,E005A,240,240,771.42
06014290703,1,04,E004A,300,300,964.28
06014290705,1,03,E004A,90,90,289.28
06014290705,1,04,E004A,90,90,289.28
06014293406,1,05,E001B,30,30,90
06014500102,1,03,E002A,30,30,87.09
06014500102,1,03,E002B,33,33,95.8
06014501002,1,05,E004B,255,255,740.32
06014501002,1,05,E004A,117,117,339.67
06014501006,1,03,E001B,30,30,87.09
06014501902,1,04,E001B,105,105,315
06014780501,1,04,E004A,260,260,754.83
06014781401,1,02,E004A,200,200,600
06014781401,1,02,E004B,29,29,87
06014781402,1,05,E002A,25,25,75
06014781402,1,04,E002B,10,10,30
06014781403,1,05,E002B,77,77,231
06014781404,1,05,E002B,34,34,102
06014781404,1,05,E002A,66,66,198
06014781404,1,04,E002B,11,11,33
06014781404,1,04,E002A,66,66,198
06014781404,1,03,E003B,25,25,75
06014781404,1,03,E003A,66,66,198
06014781404,1,02,E004B,49,49,147
06014782302,1,03,E005B,30,30,87.09
06014782302,1,03,E005A,150,150,435.48
06014790602,1,06,E002B,267,267,775.16
06014790602,1,08,E002B,267,267,775.16
06014790602,1,08,E002A,26,26,75.48
06014790602,1,07,E002B,267,267,775.16
06014790602,1,07,E002A,26,26,75.48
06014790602,1,06,E002A,26,26,75.48
06014790604,1,04,E002A,75,75,217.74
06014790604,1,03,E003A,75,75,217.74
06014790604,1,05,E002A,75,75,217.74
06014801203,1,04,E002B,50,50,145.16
06014801203,1,03,E002B,50,50,145.16
06014802101,1,04,E003B,60,60,180
06014802101,1,04,E003A,27,27,81
06014890402,1,11,E002A,300,300,870.96
06014890402,1,08,E003A,300,300,870.96
06014890402,1,10,E003A,300,300,870.96
06014892701,1,04,E002B,270,270,783.87
06014892703,1,04,E005A,200,200,580.64
06014892703,1,04,E005B,40,40,116.12
06014892703,1,05,E005A,250,250,725.8
06014892703,1,05,E005B,200,200,580.64
06014892704,1,02,E005A,40,40,116.12
06014892704,1,02,E005B,151,151,438.38
06015042002,1,03,E002B,80,80,240
06015042002,1,03,E002A,70,70,210
06015042004,1,04,E002B,15,15,45
06015110002,1,04,E003A,262,262,786
06015110911,1,03,E002B,100,100,321.42
06015110912,1,03,E003A,25,25,80.35
06015111801,1,05,E002A,96,96,278.7
06015111801,1,04,E002A,96,96,278.7
06015112903,1,03,E001B,311,311,933
06015112903,1,03,E001A,90,90,270
06015210804,1,04,E002A,20,20,64.28
06015212203,1,07,E002A,120,120,348.38
06015212203,1,07,E002B,83,83,240.96
06015212203,1,11,E002A,120,120,348.38
06015212203,1,11,E002B,140,140,406.45
06015212203,1,12,E002A,80,80,232.25
06015212203,1,12,E002B,5,5,14.51
06015213105,1,03,E001B,100,100,290.32
06015213105,1,03,E001A,50,50,145.16
06015213106,1,03,E002B,500,500,1451.61
06015213106,1,03,E002A,500,500,1451.61
06600080506,1,05,E002B,200,200,580.64
06600101402,1,03,E002B,85,85,255
06600102302,1,03,E005A,200,200,580.64
06600102302,1,03,E005B,500,500,1451.61
06600102303,1,04,E004A,300,300,870.96
06600103205,1,03,E004A,40,40,116.12
06600200303,1,08,E002B,77,77,223.54
06600200303,1,07,E002B,77,77,223.54
06600200303,1,06,E002B,112,112,325.16
06600200304,1,04,E002B,47,47,136.45
06600200304,1,03,E002A,120,120,348.38
06600200304,1,03,E002B,47,47,136.45
06600200304,1,04,E002A,120,120,348.38
06600201504,1,03,E002B,55,55,165
06600202406,1,04,E002B,590,590,1712.9
06600580201,1,04,E002A,15,15,43.54
06600802004,1,03,E001B,17,17,51
06600862601,1,05,E002B,100,100,290.32
06600862601,1,03,E004B,500,500,1451.61
06600862601,1,04,E003B,200,200,580.64
06600862604,1,04,E001B,600,600,1741.93
06600862604,1,03,E003B,900,900,2612.9
06600900101,1,04,E002B,49,49,142.25
06600900101,1,04,E002A,64,64,185.8
06600901002,1,04,E001B,200,200,580.64
06600901002,1,04,E001A,200,200,580.64
06600902503,1,03,E003A,256,256,743.22
06600902503,1,03,E003B,777,777,2255.8
06600902503,1,04,E003A,256,256,743.22
06600902503,1,04,E003B,777,777,2255.8
07000951402,1,05,E001B,250,250,750
07002122801,1,03,E001A,20,20,60
07002122801,1,03,E001B,55,55,165
07002122803,1,08,E002A,40,40,120
07002122803,1,05,E003B,26,26,78
07002122803,1,07,E002A,90,90,270
07002122803,1,07,E002B,18,18,54
07002122803,1,05,E003A,150,150,450
07002122803,1,04,E004B,26,26,78
07002122803,1,06,E002B,26,26,78
07002122803,1,06,E002A,90,90,270
07002122803,1,03,E004A,180,180,540
07002122803,1,03,E004B,26,26,78
07002122803,1,04,E004A,180,180,540
07002122805,1,07,E002A,60,60,180
07002122805,1,07,E002B,49,49,147
07003271002,1,03,E001A,46,46,133.54
07004872703,1,04,E002B,115,115,333.87
07004872703,1,04,E002A,114,114,330.96
07004872703,1,03,E002B,161,161,467.41
07004872703,1,03,E002A,114,114,330.96
07004872704,1,04,E002B,304,304,882.58
07004872704,1,04,E002A,196,196,569.03
07008001604,1,04,E002B,112,112,325.16
07008740801,1,05,E004B,30,30,96.42
07008740801,1,05,E004A,144,144,462.85
07008740802,1,03,E002B,51,51,163.92
07008740802,1,03,E002A,83,83,266.78
07008740805,1,03,E005B,40,40,128.57
07008740805,1,03,E005A,57,57,183.21
07008910904,1,04,E003A,350,350,1124.99
07008910904,1,04,E003B,41,41,131.78
07009582603,1,03,E002B,289,289,839.03
07009582603,1,04,E002B,289,289,839.03
07009582603,1,04,E002A,360,360,1045.16
07009582603,1,03,E002A,400,400,1161.29
07009582605,1,05,E002B,83,83,240.96
07009582605,1,03,E004A,112,112,325.16
07009582605,1,04,E002A,368,368,1068.38
07009582605,1,03,E004B,46,46,133.54
07009582605,1,05,E002A,176,176,510.96
07009582605,1,04,E002B,155,155,449.99
07013242302,1,03,E002B,160,160,464.51
07013242302,1,03,E002A,240,240,696.77
07013390804,1,04,E001B,185,185,594.64
07013390804,1,03,E001B,185,185,594.64
07014631102,1,03,E004A,300,300,870.96
07014631102,1,03,E004B,160,160,464.51
07017902604,1,03,E002B,146,146,423.87
07017902604,1,03,E002A,123,123,357.09
07018113403,1,03,E002B,22,22,66
07018113405,1,03,E003A,76,76,228
07018113405,1,03,E003B,220,220,660
07018162801,1,03,E002B,300,300,900
07018230104,1,04,E003A,480,480,1393.54
07018230104,1,04,E003B,80,80,232.25
07020092701,1,03,E002B,101,101,293.22
07020092701,1,04,E001A,45,45,130.64
07020092701,1,03,E002A,125,125,362.9
07020092701,1,04,E001B,250,250,725.8
07020092703,1,04,E004B,73,73,211.93
07020092703,1,05,E004A,260,260,754.83
07020092703,1,05,E004B,52,52,150.96
07020092703,1,04,E004A,260,260,754.83
07020092704,1,04,E001B,225,225,653.22
07020092704,1,04,E001A,140,140,406.45
07020092705,1,04,E004A,360,360,1045.16
07020092705,1,04,E004B,70,70,203.22
07020512505,1,03,E002A,300,300,870.96
07020512505,1,03,E002B,43,43,124.83
07021571902,1,03,E007B,1200,1200,3600
07023241806,1,03,E002A,20,20,58.06
07024022903,1,03,E003B,16,16,48
07024112703,1,03,E002A,60,60,174.19
07024112703,1,03,E002B,45,45,130.64
07026530601,1,03,E003B,5,5,14.51
07026530601,1,03,E003A,34,34,98.7
07026530606,1,05,E001B,78,78,226.45
07026530606,1,03,E004B,97,97,281.61
07026532401,1,03,E002B,135,135,391.93
07026532401,1,03,E002A,180,180,522.58
07026533201,1,02,E004B,200,200,580.64
07026533204,1,04,E005A,400,400,1161.29
07026533204,1,04,E005B,200,200,580.64
07027592902,1,06,E001B,92,92,276
07027592902,1,06,E001A,22,22,66
07027592902,1,05,E002A,143,143,429
07027592902,1,05,E002B,173,173,519
07027592903,1,03,E001A,149,149,447
07027592903,1,03,E001B,205,205,615
07027592904,1,03,E004B,47,47,141
07027592904,1,05,E002B,67,67,201
07027592904,1,05,E002A,132,132,396
07027592904,1,03,E004A,198,198,594
07027592904,1,04,E002A,154,154,462
07027592904,1,04,E002B,122,122,366
07029050805,1,04,E002B,73,73,234.64
07029051703,1,06,E002B,82,82,238.06
07029051703,1,06,E002A,120,120,348.38
07029051705,1,02,E004A,100,100,290.32
07029891204,1,05,E005B,300,300,870.96
07029891205,1,03,E002B,14,14,40.64
07029891205,1,04,E002B,10,10,29.03
07029892102,1,04,E002B,16,16,48
07029892102,1,05,E002B,16,16,48
07031821604,1,03,E003A,100,100,290.32
07031822604,1,04,E004B,140,140,406.45
07031822604,1,05,E002A,300,300,870.96
07031822604,1,04,E004A,240,240,696.77
07031822604,1,05,E002B,200,200,580.64
07031822605,1,05,E005B,180,180,522.58
07031822605,1,05,E005A,200,200,580.64
07031822606,1,03,E004A,400,400,1161.29
07031822606,1,03,E004B,300,300,870.96
07031822606,1,04,E002A,350,350,1016.12
07031822606,1,04,E002B,350,350,1016.12
07031823505,1,03,E004B,99,99,297
07032412501,1,04,E003B,60,60,174.19
07032412501,1,05,E002A,60,60,174.19
07032412501,1,04,E003A,105,105,304.83
07032412501,1,05,E002B,18,18,52.25
07032412503,1,03,E002B,800,800,2322.58
07032412503,1,03,E002A,350,350,1016.12
07032413404,1,02,E003B,62,62,186
07032413404,1,02,E003A,276,276,828
07032413405,1,04,E003B,24,24,72
07032413405,1,04,E003A,80,80,240
07032770502,1,03,E001A,30,30,87.09
07032770502,1,03,E001B,270,270,783.87
07033230602,1,03,E002A,30,30,87.09
07033231401,1,06,E002B,29,29,87
07033231405,1,04,E002B,17,17,51
07033231405,1,03,E002B,17,17,51
07033572003,1,05,E002A,80,80,240
07033572003,1,06,E001B,38,38,114
07033572004,1,04,E002A,20,20,60
07033572004,1,04,E002B,5,5,15
07033572006,1,03,E002B,99,99,297
07033572006,1,04,E001B,60,60,180
07034691505,1,04,E003B,540,540,1620
07034693301,1,05,E004B,93,93,269.99
07034693305,1,04,E003A,114,114,330.96
07034693305,1,04,E003B,29,29,84.19
07036651503,1,05,E002B,23,23,69
07036651503,1,04,E002B,23,23,69
07036653202,1,03,E002B,24,24,69.67
07036653203,1,03,E002A,90,90,261.29
07036653203,1,04,E002A,92,92,267.09
07036653203,1,03,E002B,162,162,470.32
07036653203,1,04,E002B,97,97,281.61
07037760901,1,03,E003B,40,40,128.57
07037760901,1,03,E003A,60,60,192.85
07037760905,1,03,E005B,236,236,758.57
07037761805,1,03,E002B,33,33,95.8
07037761806,1,05,E001A,40,40,116.12
07037761806,1,04,E003A,150,150,435.48
07037761806,1,03,E004B,115,115,333.87
07037761806,1,05,E001B,35,35,101.61
07037761806,1,03,E004A,180,180,522.58
07038300202,1,03,E002B,29,29,84.19
07038300202,1,04,E002B,29,29,84.19
07038303001,1,05,E003A,180,180,540
07038303002,1,03,E002B,25,25,75
07038303002,1,03,E002A,60,60,180
07038303003,1,03,E004B,16,16,48
07038303003,1,03,E004A,88,88,264
07038303004,1,03,E002A,80,80,240
07038303004,1,03,E002B,65,65,195
07039040702,1,04,E004A,60,60,192.85
07039040705,1,04,E004A,225,225,723.21
07039040705,1,04,E004B,125,125,401.78
07039041604,1,05,E002A,30,30,87.09
07039041604,1,04,E003A,30,30,87.09
07039041605,1,05,E003A,30,30,87.09
07039041605,1,04,E004A,30,30,87.09
07039041606,1,02,E002A,100,100,290.32
07039041606,1,02,E002B,300,300,870.96
07039042501,1,05,E002A,46,46,133.54
07039042501,1,04,E002A,46,46,133.54
07039042501,1,06,E002A,23,23,66.77
07039042502,1,04,E004A,210,210,609.67
07039042502,1,04,E004B,25,25,72.58
07039042505,1,03,E001B,26,26,75.48
07039042505,1,03,E001A,50,50,145.16
07039042506,1,02,E002B,20,20,58.06
07039042506,1,02,E002A,24,24,69.67
07039042506,1,03,E002A,12,12,34.83
07039042506,1,03,E002B,20,20,58.06
07040131006,1,03,E002B,45,45,130.64
07040131006,1,03,E002A,40,40,116.12
07040131901,1,05,E002A,15,15,45
07040131901,1,05,E002B,15,15,45
07040131905,1,04,E002B,5,5,15
07040131905,1,04,E002A,25,25,75
07040132805,1,04,E002A,50,50,150
07040132805,1,05,E002B,10,10,30
07040132805,1,05,E002A,25,25,75
07040132805,1,04,E002B,20,20,60
07040132805,1,03,E003A,50,50,150
07040132805,1,03,E003B,20,20,60
07040211304,1,03,E003B,200,200,600
07041512601,1,03,E002A,60,60,174.19
07041512601,1,03,E002B,43,43,124.83
07041720502,1,04,E002A,36,36,104.51
07041720502,1,03,E002A,80,80,232.25
07041720502,1,04,E002B,25,25,72.58
07042422504,1,03,E003A,180,180,522.58
07042422504,1,03,E003B,463,463,1344.19
07042422504,1,05,E001B,188,188,545.8
07042422504,1,04,E002A,180,180,522.58
07042422504,1,04,E002B,195,195,566.12
07042422506,1,04,E004A,240,240,696.77
07042422506,1,04,E004B,154,154,447.09
07044030004,1,03,E002B,25,25,75
07044030004,1,04,E002B,25,25,75
07044030004,1,03,E002A,34,34,102
07044031101,1,02,E002A,200,200,580.64
07044031106,1,03,E001B,220,220,638.7
07044031106,1,03,E001A,30,30,87.09
07044032001,1,05,E005B,375,375,1125
07046143701,1,04,E002A,40,40,116.12
07046143701,1,03,E002A,60,60,174.19
07046143701,1,03,E002B,153,153,444.19
07046143701,1,05,E001B,43,43,124.83
07046143701,1,04,E002B,153,153,444.19
07046143706,1,03,E001B,40,40,116.12
07046143706,1,03,E001A,15,15,43.54
07046143706,1,02,E004B,185,185,537.09
07046433004,1,04,E002A,250,250,750
07046433006,1,03,E004A,480,480,1440
07046433006,1,03,E004B,80,80,240
07600701101,1,03,E002A,18,18,52.25
07600701101,1,03,E002B,56,56,162.58
07600701104,1,04,E002A,19,19,55.16
07600701104,1,04,E002B,20,20,58.06
07600701105,1,03,E004A,100,100,290.32
07600701105,1,03,E004B,50,50,145.16
07600703002,1,04,E001A,110,110,330
07600703002,1,04,E001B,175,175,525
07600703002,1,03,E002A,75,75,225
07600703002,1,03,E002B,525,525,1575
07600703003,1,06,E002A,162,162,486
07600703003,1,06,E002B,283,283,849
07600703003,1,07,E001B,188,188,564
07600703003,1,07,E001A,53,53,159
07600703004,1,04,E003A,335,335,1005
07600703004,1,05,E002B,467,467,1401
07600703004,1,05,E002A,105,105,315
07600703004,1,04,E003B,680,680,2040
07600880910,1,03,E003B,64,64,205.71
07600880910,1,04,E002B,64,64,205.71
07600882902,1,03,E005A,50,50,150
07600882902,1,03,E005B,30,30,90
07600882903,1,04,E002A,100,100,300
07600882903,1,04,E002B,405,405,1215
07601580801,1,04,E002A,45,45,144.64
07601580801,1,05,E002A,35,35,112.49
07601581704,1,04,E002A,30,30,87.09
07601902603,1,06,E002A,117,117,339.67
07601902603,1,06,E002B,26,26,75.48
07601902603,1,05,E004B,34,34,98.7
07601902603,1,04,E005B,34,34,98.7
07601902603,1,04,E005A,168,168,487.74
07601902603,1,05,E004A,224,224,650.32
07601902604,1,04,E002B,26,26,75.48
07601902604,1,03,E004B,50,50,145.16
07601902604,1,03,E004A,210,210,609.67
07601902604,1,04,E002A,100,100,290.32
07601902605,1,02,E004A,50,50,145.16
07601902605,1,03,E002A,50,50,145.16
07601902606,1,03,E003B,28,28,81.29
07601902606,1,03,E003A,120,120,348.38
07601903501,1,06,E003A,150,150,450
07601903501,1,06,E003B,32,32,96
07601903501,1,05,E004A,150,150,450
07601903501,1,05,E004B,32,32,96
07601903506,1,06,E002B,14,14,42
07602550001,1,03,E003A,200,200,600
07602550001,1,04,E002A,100,100,300
07602550002,1,05,E002B,16,16,48
07602550002,1,04,E002B,30,30,90
07602552906,1,03,E005B,24,24,72
07602552906,1,03,E005A,174,174,522
07604480101,1,04,E002B,45,45,130.64
07604480101,1,04,E002A,20,20,58.06
07604480101,1,03,E002B,45,45,130.64
07604480101,1,03,E002A,20,20,58.06
07604480103,1,05,E002A,140,140,406.45
07604480103,1,05,E002B,37,37,107.41
07604480103,1,04,E003B,17,17,49.35
07604480103,1,04,E003A,140,140,406.45
07604480104,1,04,E003A,50,50,145.16
07604480104,1,04,E003B,52,52,150.96
07604480105,1,05,E002B,28,28,81.29
07604481004,1,04,E002B,6,6,17.41
07604481004,1,04,E002A,20,20,58.06
07604483402,1,04,E002A,50,50,150
07604483402,1,03,E003B,28,28,84
07604483402,1,03,E003A,50,50,150
07604483402,1,04,E002B,28,28,84
07606590503,1,06,E001B,45,45,130.64
07606590503,1,05,E002B,43,43,124.83
07606590504,1,05,E001A,12,12,34.83
07606590504,1,05,E001B,23,23,66.77
07606590504,1,04,E002A,50,50,145.16
07606592801,1,03,E003B,150,150,450
07606592801,1,04,E002B,254,254,762
07606592801,1,04,E002A,96,96,288
07606592801,1,03,E003A,96,96,288
07606592802,1,04,E001B,100,100,300
07606592802,1,03,E002A,100,100,300
07606592802,1,03,E002B,300,300,900
07606592803,1,04,E003B,25,25,75
07606592803,1,05,E001B,45,45,135
07606592803,1,03,E004A,100,100,300
07606592803,1,03,E004B,50,50,150
07606592803,1,04,E003A,125,125,375
07606592804,1,04,E002B,45,45,135
07606592804,1,05,E002A,66,66,198
07606592804,1,05,E002B,66,66,198
07606592804,1,04,E002A,132,132,396
07606611402,1,03,E002A,34,34,102
07606612304,1,02,E005B,15,15,43.54
07606612304,1,02,E005A,80,80,232.25
07608960301,1,06,E004B,37,37,107.41
07608960301,1,06,E004A,36,36,104.51
07609502104,1,04,E003B,53,53,159
07609503003,1,03,E001A,24,24,72
07609503003,1,03,E001B,10,10,30
07609740001,1,05,E004B,24,24,72
07609740001,1,06,E002A,60,60,180
07609740001,1,06,E002B,81,81,243
07609740001,1,05,E004A,75,75,225
07609742001,1,03,E002B,88,88,264
07609742001,1,03,E002A,150,150,450
07609742005,1,06,E002A,15,15,45
07609742005,1,07,E001B,80,80,240
07609742005,1,07,E001A,15,15,45
07609742005,1,06,E002B,58,58,174
07609742006,1,04,E003A,70,70,210
07609742006,1,04,E003B,75,75,225
07609742901,1,04,E004B,180,180,540
07609742901,1,04,E004A,125,125,375
07609742903,1,03,E001A,40,40,120
07609742903,1,03,E001B,58,58,174
07609742904,1,03,E003A,200,200,600
07609742904,1,03,E003B,54,54,162
07609742906,1,03,E001A,116,116,348
07609742906,1,03,E001B,113,113,339
07610650903,1,05,E002A,80,80,257.14
07610650903,1,05,E002B,12,12,38.57
07610650903,1,03,E003A,80,80,257.14
07610650903,1,06,E002A,80,80,257.14
07610650903,1,06,E002B,12,12,38.57
07610650903,1,04,E002A,80,80,257.14
07610650903,1,03,E003B,12,12,38.57
07610650903,1,04,E002B,12,12,38.57
07610650904,1,05,E001B,13,13,41.78
07610650904,1,04,E002B,13,13,41.78
07610650904,1,04,E002A,35,35,112.49
07610650904,1,03,E002B,13,13,41.78
07610650904,1,03,E002A,35,35,112.49
07610650904,1,05,E001A,18,18,57.85
07610651803,1,03,E002B,6,6,17.41
07610651803,1,03,E002A,70,70,203.22
07610651805,1,03,E002A,70,70,203.22
07610652702,1,03,E003A,75,75,217.74
07610652702,1,04,E002B,15,15,43.54
07610652702,1,03,E003B,45,45,130.64
07610652702,1,04,E002A,50,50,145.16
07610652705,1,10,E002B,215,215,624.19
07610652705,1,11,E002A,48,48,139.35
07610652705,1,11,E002B,52,52,150.96
07610652705,1,12,E002A,135,135,391.93
07610652705,1,12,E002B,215,215,624.19
07610652705,1,13,E002A,45,45,130.64
07610652705,1,14,E001A,20,20,58.06
07610652705,1,14,E001B,80,80,232.25
07610652705,1,09,E002A,96,96,278.7
07610652705,1,09,E002B,104,104,301.93
07610652705,1,10,E002A,135,135,391.93
07610652706,1,04,E002B,90,90,261.29
07610652706,1,04,E002A,110,110,319.35
07610652706,1,03,E003B,90,90,261.29
07610652706,1,03,E003A,110,110,319.35
07611640402,1,03,E001A,16,16,46.45
07611640402,1,03,E001B,48,48,139.35
07611640403,1,03,E004B,34,34,98.7
07611640403,1,04,E003A,80,80,232.25
07611640403,1,04,E003B,27,27,78.38
07611640403,1,03,E004A,120,120,348.38
07611641304,1,02,E005A,55,55,165
07611641304,1,02,E005B,45,45,135
07611900801,1,03,E002A,25,25,80.35
07611900801,1,03,E002B,25,25,80.35
07611901701,1,02,E002B,14,14,40.64
07611901702,1,04,E002B,8,8,23.22
07611901703,1,06,E001B,47,47,136.45
07611901705,1,03,E002B,16,16,46.45
07611901705,1,04,E001B,13,13,37.74
07611902603,1,06,E004A,150,150,435.48
07611902604,1,06,E005B,200,200,580.64
07611902604,1,06,E005A,500,500,1451.61
07612490701,1,04,E003A,30,30,96.42
07612490701,1,07,E002A,15,15,48.21
07612490701,1,06,E002A,15,15,48.21
07612490704,1,04,E003A,20,20,64.28
07612492501,1,03,E002A,72,72,209.03
07612492501,1,02,E003A,72,72,209.03
07613230101,1,03,E001B,25,25,72.58
07613230101,1,03,E001A,15,15,43.54
07613231001,1,05,E002B,14,14,40.64
07613231001,1,06,E001B,34,34,98.7
07613231001,1,05,E002A,100,100,290.32
07613231001,1,04,E002B,14,14,40.64
07613231001,1,04,E002A,100,100,290.32
07613231002,1,03,E001A,25,25,72.58
07613231002,1,03,E001B,87,87,252.58
07613231006,1,03,E004A,126,126,365.8
07613231006,1,03,E004B,129,129,374.51
07613231901,1,03,E004B,386,386,1158
07613511402,1,06,E001A,45,45,135
07613511405,1,04,E001A,35,35,105
07613511406,1,05,E002B,91,91,273
07613512304,1,05,E002A,36,36,104.51
07613780603,1,02,E002A,36,36,104.51
07613782402,1,05,E003A,61,61,177.09
07613783202,1,05,E002B,10,10,29.03
07613783202,1,05,E002A,50,50,145.16
07613783203,1,04,E004A,44,44,127.74
07613783203,1,04,E004B,40,40,116.12
07613783204,1,05,E004A,69,69,200.32
07613783204,1,05,E004B,10,10,29.03
07613783205,1,03,E004B,15,15,43.54
07613783205,1,03,E004A,200,200,580.64
07617221206,1,07,E002A,50,50,145.16
07617221206,1,06,E002A,50,50,145.16
07617921101,1,04,E001B,43,43,124.83
07617921101,1,04,E001A,50,50,145.16
07617921104,1,03,E001A,15,15,43.54
07617921104,1,03,E001B,9,9,26.12
07617921106,1,03,E002B,5,5,14.51
07617923001,1,03,E002B,45,45,135
07617923003,1,03,E001A,20,20,60
07617923004,1,04,E004A,140,140,420
07617923004,1,05,E003B,48,48,144
07617923004,1,05,E003A,186,186,558
07617923004,1,04,E004B,48,48,144
07617923005,1,04,E002B,74,74,222
07617923005,1,04,E002A,60,60,180
07617923005,1,03,E002A,60,60,180
07617923005,1,03,E002B,74,74,222
07618330002,1,03,E001B,4,4,12
07618330002,1,03,E001A,20,20,60
07618330006,1,04,E003B,83,83,249
07618330006,1,04,E003A,300,300,900
07618331801,1,05,E002B,90,90,261.29
07618331801,1,05,E002A,20,20,58.06
07618331801,1,04,E003B,5,5,14.51
07618331801,1,04,E003A,20,20,58.06
07618331802,1,03,E003B,32,32,92.9
07618331805,1,04,E002B,20,20,58.06
07618332904,1,04,E002A,40,40,120
07618332904,1,03,E003B,55,55,165
07618332904,1,03,E003A,140,140,420
07618332904,1,05,E002B,8,8,24
07618332904,1,05,E002A,40,40,120
07618332904,1,04,E002B,8,8,24
07619242701,1,05,E002B,15,15,43.54
07619242701,1,05,E002A,25,25,72.58
07619242701,1,04,E002B,15,15,43.54
07619242701,1,04,E002A,25,25,72.58
07619242701,1,06,E001A,15,15,43.54
07619242701,1,06,E001B,45,45,130.64
07619242701,1,03,E002A,25,25,72.58
07619242701,1,03,E002B,15,15,43.54
07619242702,1,06,E002A,20,20,58.06
07619242702,1,06,E002B,72,72,209.03
07619242704,1,03,E001A,20,20,58.06
07619242704,1,03,E001B,55,55,159.67
07619242705,1,08,E002B,45,45,130.64
07619242705,1,08,E002A,40,40,116.12
07619242705,1,07,E003B,30,30,87.09
07619242705,1,07,E003A,40,40,116.12
07619242705,1,06,E004A,40,40,116.12
07619242705,1,06,E004B,40,40,116.12
07619242706,1,04,E001A,25,25,72.58
07619242706,1,03,E002B,19,19,55.16
07619242706,1,03,E002A,25,25,72.58
07619242706,1,04,E001B,67,67,194.51
07619243605,1,08,E002B,21,21,63
07619243605,1,04,E005A,240,240,720
07619243605,1,04,E005B,130,130,390
07619243605,1,08,E002A,75,75,225
07620103104,1,03,E002B,199,199,577.74
07620103104,1,03,E002A,84,84,243.87
07620103105,1,04,E002B,23,23,66.77
07620103105,1,04,E002A,50,50,145.16
07621000704,1,04,E003A,40,40,128.57
07621000704,1,04,E003B,29,29,93.21
07621000705,1,03,E001B,58,58,186.42
07621000705,1,03,E001A,20,20,64.28
07621001605,1,03,E002B,110,110,319.35
07621001605,1,03,E002A,90,90,261.29
07621002603,1,02,E003A,156,156,452.9
07621002603,1,03,E002B,59,59,171.29
07621002603,1,03,E002A,26,26,75.48
07621002603,1,02,E003B,133,133,386.12
07621770101,1,06,E001A,20,20,58.06
07621770101,1,06,E001B,35,35,101.61
07621770101,1,04,E002A,20,20,58.06
07621770101,1,04,E002B,35,35,101.61
07621770101,1,05,E002A,20,20,58.06
07621770101,1,05,E002B,35,35,101.61
07621770105,1,03,E001A,30,30,87.09
07621770105,1,03,E001B,23,23,66.77
07621770106,1,06,E001A,13,13,37.74
07621770106,1,05,E002A,13,13,37.74
07621772501,1,05,E001B,38,38,110.32
07621772501,1,05,E001A,30,30,87.09
07621772502,1,08,E001A,18,18,52.25
07621772502,1,08,E001B,26,26,75.48
07621772502,1,05,E004B,55,55,159.67
07621772502,1,07,E002B,15,15,43.54
07621772502,1,05,E004A,160,160,464.51
07621772502,1,07,E002A,20,20,58.06
07621772502,1,06,E002B,15,15,43.54
07621772502,1,06,E002A,20,20,58.06
07621772503,1,03,E002B,50,50,145.16
07621772503,1,03,E002A,22,22,63.87
07621772504,1,04,E001B,11,11,31.93
07621772504,1,03,E003B,21,21,60.96
07621772504,1,03,E003A,76,76,220.64
07621772504,1,05,E001A,12,12,34.83
07621772504,1,05,E001B,6,6,17.41
07621773403,1,04,E002A,25,25,75
07621773403,1,05,E002B,17,17,51
07621773403,1,05,E002A,25,25,75
07621773403,1,04,E002B,38,38,114
07623531404,1,04,E002B,27,27,81
07625390303,1,06,E001B,74,74,214.83
07625390306,1,06,E001B,260,260,754.83
07625393301,1,06,E002B,20,20,58.06
07625393301,1,05,E003B,5,5,14.51
07625393301,1,04,E005B,55,55,159.67
07625393301,1,04,E005A,160,160,464.51
08001190903,1,04,E001A,500,500,1607.14
08001190903,1,03,E002A,500,500,1607.14
08001442905,1,04,E003A,700,700,2100
08001442905,1,04,E003B,300,300,900
08001442905,1,03,E004B,300,300,900
08001442905,1,03,E004A,700,700,2100
08001982702,1,03,E005B,300,300,870.96
08001982702,1,03,E005A,400,400,1161.29
08001982703,1,03,E004B,150,150,435.48
08001982703,1,04,E004B,220,220,638.7
08001982703,1,03,E004A,350,350,1016.12
08001982703,1,02,E005B,200,200,580.64
08001982703,1,02,E005A,300,300,870.96
08001982703,1,04,E004A,280,280,812.9
08002511102,1,03,E002A,150,150,435.48
08002511102,1,03,E002B,150,150,435.48
08004180205,1,03,E004A,60,60,174.19
08005132705,1,03,E003A,2000,2000,5806.45
08005132705,1,04,E002A,2000,2000,5806.45
08007582603,1,04,E005A,50,50,145.16
08012012902,1,04,E004A,1000,1000,3000
08012012902,1,03,E004A,1000,1000,3000
08012221806,1,04,E005A,600,600,1741.93
08012792506,1,04,E004A,1000,1000,2903.22
08012792506,1,04,E004B,250,250,725.8
