folioviv,foliohog,numren,clave,material,gasto,gasto_tri
01015952902,1,04,E005A,150,150,450
01015952903,1,03,E002A,100,100,300
01015952903,1,03,E002B,200,200,600
01015952904,1,04,E002A,126,126,378
01015952904,1,04,E002B,422,422,1266
01015952906,1,05,E002A,160,160,480
01015952906,1,05,E002B,165,165,495
01016300004,1,03,E003B,200,200,600
01016672606,1,04,E002B,140,140,406.45
01016672606,1,05,E002B,100,100,290.32
01016672606,1,03,E004B,160,160,464.51
01017140804,1,03,E001B,100,100,321.42
01017212501,1,03,E004A,60,60,174.19
01017212502,1,01,E005A,72,72,209.03
01017212503,1,04,E003B,212,212,615.48
01017212503,1,04,E003A,240,240,696.77
01017212504,1,05,E003B,195,195,566.12
01017212504,1,06,E002B,260,260,754.83
01017212504,1,05,E003A,105,105,304.83
01017212504,1,06,E002A,120,120,348.38
01017212505,1,05,E002B,370,370,1074.19
01017212505,1,03,E005B,220,220,638.7
01017212505,1,04,E004B,490,490,1422.58
01017221001,1,04,E001B,200,200,580.64
01017221001,1,03,E003B,400,400,1161.29
01017221006,1,02,E003B,200,200,580.64
01017591305,1,03,E002B,105,105,315
01017591305,1,04,E002B,105,105,315
01017591305,1,04,E002A,80,80,240
01017591305,1,03,E002A,80,80,240
01017680003,1,05,E005B,800,800,2400
01017680003,1,05,E005A,200,200,600
01017680004,1,06,E002B,100,100,300
01017680004,1,07,E002B,100,100,300
01017680004,1,05,E002B,100,100,300
01017790405,1,02,E003A,56,56,162.58
01017790405,1,02,E003B,69,69,200.32
01017843603,1,06,E003B,1100,1100,3300
01017843606,1,04,E002B,250,250,750
01018321704,1,02,E003A,78,78,226.45
01018321704,1,02,E003B,21,21,60.96
01018413105,1,03,E002B,490,490,1422.58
01018413105,1,03,E002A,210,210,609.67
01018692802,1,02,E003A,350,350,1050
01018692802,1,02,E003B,150,150,450
01018692804,1,04,E003A,500,500,1500
01018692804,1,04,E003B,300,300,900
01019021603,1,08,E002A,40,40,116.12
01019050702,1,04,E003A,76,76,244.28
01019050702,1,05,E002B,35,35,112.49
01019050702,1,05,E002A,57,57,183.21
01019050702,1,04,E003B,40,40,128.57
01019050704,1,05,E002A,46,46,147.85
01019050704,1,05,E002B,18,18,57.85
01019050704,1,07,E002A,46,46,147.85
01019050704,1,07,E002B,58,58,186.42
01019050704,1,06,E002A,69,69,221.78
01019050704,1,06,E002B,58,58,186.42
01019050705,1,06,E002B,12,12,38.57
01019050705,1,06,E002A,38,38,122.14
01019083506,1,03,E001B,60,60,180
01019083506,1,03,E001A,40,40,120
01019362006,1,04,E002A,20,20,60
01019362006,1,04,E002B,30,30,90
01019432701,1,04,E001A,44,44,127.74
01019432701,1,03,E003B,136,136,394.83
01019432701,1,03,E003A,264,264,766.45
01019432701,1,02,E005B,100,100,290.32
01019432701,1,02,E005A,100,100,290.32
01019432701,1,04,E001B,256,256,743.22
01019432703,1,03,E004A,176,176,510.96
01019432703,1,03,E004B,24,24,69.67
01019432703,1,04,E002A,154,154,447.09
01019432703,1,04,E002B,46,46,133.54
01019432705,1,03,E002A,136,136,394.83
01019432705,1,03,E002B,64,64,185.8
01019432705,1,04,E002B,81,81,235.16
01019432705,1,04,E002A,119,119,345.48
01019432706,1,05,E002A,200,200,580.64
01019432706,1,05,E002B,100,100,290.32
01019432706,1,03,E003A,240,240,696.77
01019432706,1,02,E004B,100,100,290.32
01019432706,1,04,E002A,200,200,580.64
01019432706,1,04,E002B,100,100,290.32
01019432706,1,02,E004A,300,300,870.96
01019432706,1,03,E003B,150,150,435.48
01019653506,1,05,E002B,250,250,750
01019733403,1,05,E001B,60,60,180
01019733403,1,04,E002B,20,20,60
01019733403,1,03,E002B,20,20,60
01019733405,1,05,E002B,30,30,90
01019733405,1,04,E002B,25,25,75
01019733406,1,04,E002B,54,54,162
01019733406,1,03,E002B,67,67,201
01019802601,1,03,E002A,250,250,725.8
01019802601,1,02,E002B,120,120,348.38
01019802601,1,03,E002B,250,250,725.8
01019802601,1,02,E002A,500,500,1451.61
01019802605,1,03,E002A,350,350,1016.12
01019802605,1,03,E002B,450,450,1306.45
01019802606,1,03,E002A,250,250,725.8
01019802606,1,02,E002B,200,200,580.64
01019802606,1,02,E002A,300,300,870.96
01019802606,1,03,E002B,250,250,725.8
01019902501,1,05,E004A,180,180,522.58
01019902501,1,03,E003B,85,85,246.77
01019902501,1,04,E002A,240,240,696.77
01019902501,1,04,E002B,100,100,290.32
01019902501,1,03,E003A,50,50,145.16
01019902501,1,05,E004B,100,100,290.32
01019902503,1,03,E002B,130,130,377.41
01020030303,1,04,E004A,150,150,435.48
01020030303,1,05,E003B,150,150,435.48
01021173202,1,06,E001B,600,600,1741.93
01021173202,1,05,E002A,420,420,1219.35
01021173202,1,05,E002B,180,180,522.58
01021332602,1,04,E002A,44,44,127.74
01021332602,1,04,E002B,56,56,162.58
01021332602,1,03,E002B,69,69,200.32
01021332602,1,03,E002A,66,66,191.61
01021450006,1,04,E005A,250,250,750
01021981301,1,04,E001B,5,5,15
01021981301,1,04,E001A,30,30,90
01021981301,1,03,E002A,30,30,90
01021981301,1,03,E002B,5,5,15
01022650703,1,02,E002B,300,300,964.28
01022652504,1,04,E003B,218,218,632.9
01022652504,1,04,E003A,260,260,754.83
01022652506,1,06,E003A,110,110,319.35
01022652506,1,06,E003B,5,5,14.51
01023711902,1,06,E002B,49,49,147
01023711902,1,05,E003B,172,172,516
01023711904,1,02,E002A,56,56,168
01023711904,1,02,E002B,210,210,630
01023711905,1,02,E007B,560,560,1680
01600043002,1,06,E003A,1700,1700,5100
01600043002,1,05,E004A,1700,1700,5100
01601222205,2,04,E002A,140,140,406.45
01601222205,2,04,E002B,110,110,319.35
01601650503,1,04,E003B,151,151,438.38
01601650503,1,06,E001B,138,138,400.64
01601650503,1,05,E002B,91,91,264.19
01601650503,1,04,E003A,91,91,264.19
01601650503,1,05,E002A,52,52,150.96
01601650504,1,04,E003A,30,30,87.09
01601650504,1,05,E002B,25,25,72.58
01601651405,1,04,E002B,30,30,90
01601920601,1,06,E005B,80,80,232.25
01601920601,1,06,E005A,150,150,435.48
01601920603,1,03,E003B,10,10,29.03
01601920603,1,04,E002B,10,10,29.03
01601922401,1,03,E004A,500,500,1451.61
01601922401,1,03,E004B,300,300,870.96
01602262801,1,03,E003A,315,315,945
01602262801,1,03,E003B,185,185,555
01602262802,1,04,E002A,150,150,450
01602262802,1,04,E002B,50,50,150
01602262802,1,03,E004A,150,150,450
01602262802,1,03,E004B,50,50,150
01602262806,1,03,E002A,250,250,750
01602540910,1,03,E002B,100,100,321.42
01602542706,1,03,E001B,622,622,1805.8
01602542706,1,03,E001A,78,78,226.45
02001832601,1,03,E002B,900,900,2612.9
